sequence,setting,evaluation_scope,ape_rmse_m,ape_mean_m,rpe_rmse_m,rpe_mean_m,status,notes
door_02,baseline,position-based,0.246345,0.226276,not_used,not_used,success,"GT position is usable, but quaternion fields are all zeros; only translation-level sanity checking is reported."
room_01,baseline,translation APE/RPE,0.249044,0.241277,0.078890,0.064087,success,"Main quantitative evaluation sequence."
room_01,no-surfel,translation APE/RPE,0.246773,0.238837,0.075243,0.059319,success,"Surfel association disabled: cloud_surfel=false and point_surfel=false."
